model,parameter,parameterValue,noise,RRE (mean),RRE (sd),Acc (mean),Acc (sd),NMI (mean),NMI (sd)
l2-norm,,,0.0,0.07753231496129993,0.0008154132580540631,0.7016666666666667,0.024570382652773313,0.8119223385174724,0.021748070424638877
l2-norm,,,0.05,0.1634524151678532,0.0023465043197815443,0.49777777777777776,0.029522956123525377,0.6229097817635145,0.02688537983931503
l2-norm,,,0.1,0.24309447966137335,0.0027119740955006805,0.2822222222222222,0.025006172077615327,0.4256922246990379,0.02185768299556665
l2-norm,,,0.2,0.3462954577423173,0.002785414741156516,0.22833333333333333,0.019356945989093717,0.37673202387013754,0.010316287228618362
l2-norm,,,0.3,0.4282114408167734,0.004101238121350547,0.2072222222222222,0.012862041003100245,0.3643009423007343,0.01345426785505021
l2-norm,,,0.4,0.49852461727202346,0.003164822041130617,0.20166666666666666,0.008888888888888884,0.3600730744283252,0.01671624105182321
l2-norm,,,0.5,0.5603537809585133,0.003960758361800509,0.20277777777777778,0.013494397557212358,0.36178139261238723,0.014329710164751566
l2-norm,,,0.6,0.6189851626501162,0.005680266561074158,0.20555555555555557,0.005826715823167502,0.3610580752883529,0.009959513506118647
l2-norm,,,0.7,0.678872923825429,0.006927993125712901,0.20277777777777778,0.01817269692644015,0.3679093701310556,0.018336243014097538
l21-norm,,,0.0,0.07931398228629834,0.0008287144553325928,0.7227777777777777,0.025055493963954862,0.8263316464371038,0.013071955080516439
l21-norm,,,0.05,0.16297951911784536,0.001279949725006483,0.4916666666666667,0.02173067468400884,0.6241559318148096,0.02244013924213004
l21-norm,,,0.1,0.24192014157432645,0.002629268601058336,0.2922222222222222,0.016424161665660544,0.4430604357912052,0.013827539114919574
l21-norm,,,0.2,0.34861314321155945,0.0035699480567293143,0.2311111111111111,0.02074239411399386,0.3856844833998395,0.0214559204889867
l21-norm,,,0.3,0.42603681266234644,0.005221178882315381,0.2111111111111111,0.008606629658238706,0.3648508435016443,0.008540491776299935
l21-norm,,,0.4,0.49748929907506556,0.002798515667410072,0.19666666666666666,0.015355861067872505,0.3596949878729107,0.02759770816688829
l21-norm,,,0.5,0.5622366305321935,0.004383261727178498,0.2033333333333333,0.00831479419283098,0.35787205955303303,0.015093505819468882
l21-norm,,,0.6,0.6186502076643432,0.005803172619405411,0.20166666666666666,0.01003081671403766,0.3614744615856932,0.012715050216912459
l21-norm,,,0.7,0.6772999702076223,0.005839551393608168,0.20388888888888887,0.016063146994223284,0.366321825392777,0.01039962015794815
