model,parameter,parameterValue,noise,RRE (mean),RRE (sd),Acc (mean),Acc (sd),NMI (mean),NMI (sd)
l2-norm,,,0,0.07831123345786631,0.0007998152670156398,0.7216666666666667,0.033582402799349806,0.828736666476947,0.0198276520009682
l2-norm,,,5,0.08067107317146846,0.0008812202516658208,0.7016666666666665,0.022054925823643573,0.8131542258882553,0.011080514767083223
l2-norm,,,10,0.08800531163099674,0.0007896447354866194,0.7005555555555555,0.03173968190463489,0.8161807050285278,0.014876506464931714
l2-norm,,,40,0.20879182948405597,0.0012445934661296776,0.45444444444444443,0.03096194398465061,0.5947911698669384,0.02014115029417775
l2-norm,,,80,0.3851633911417184,0.0027607811697572277,0.22833333333333333,0.017427096823731253,0.36919988401123743,0.020949671669283895
l2-norm,,,120,0.5572377404519737,0.0019741885933320987,0.19333333333333336,0.007973722274670733,0.3355531608125011,0.01913755845962121
l2-norm,,,160,0.7305508295291188,0.006157303532301197,0.175,0.006804138174397721,0.31174579323281815,0.010275374656049134
l2-norm,,,200,0.8994937820974584,0.006032820321112342,0.17166666666666666,0.0068942631366615825,0.3062210115440315,0.012803580549646467
l2-norm,,,240,1.0610745493432114,0.005517285560222567,0.18,0.0032394177193584973,0.3149555407826122,0.010729668590932296
l2-norm,,,280,1.2222571243224771,0.007744894455852004,0.17111111111111107,0.00376796110173626,0.3134265782368747,0.011878077390096903
l21-norm,,,0,0.07995854983700604,0.0006559997737535497,0.7066666666666667,0.03977560515481945,0.8172052282036955,0.019670252757373368
l21-norm,,,5,0.08190895462119055,0.0006816535213677436,0.7172222222222222,0.028458329944145985,0.8241342184260404,0.014256994222977232
l21-norm,,,10,0.08882627016094082,0.0007024656440231805,0.711111111111111,0.035442528683859054,0.8230539383048144,0.019588638554044305
l21-norm,,,40,0.20891712984783156,0.0018028034405592173,0.46611111111111114,0.029154759474226483,0.6023406227363705,0.020275748588667982
l21-norm,,,80,0.38782873873472884,0.0033535887565356417,0.21555555555555558,0.013676148472323527,0.350858417131079,0.022879963401812115
l21-norm,,,120,0.5619206883722494,0.003918825306116326,0.19333333333333333,0.00598351645237167,0.29606389559048013,0.017357579035528092
l21-norm,,,160,0.7320780853554643,0.007414859286047116,0.17166666666666666,0.0040824829046386315,0.26187843632358376,0.013928460601938381
l21-norm,,,200,0.8946836405553402,0.006625223042540795,0.1638888888888889,0.00496903994999953,0.2381467086988498,0.013774402383760877
l21-norm,,,240,1.0534431502117667,0.007656813331282476,0.1688888888888889,0.009844469525927413,0.2322646925945942,0.022273676972130403
l21-norm,,,280,1.2086772078356887,0.011012520752765544,0.16555555555555554,0.0067128033186636465,0.25040424954561696,0.014132163728191547
l1-norm,lamda,0.01,0,0.07827838661577848,0.0007959138825260441,0.7188888888888889,0.0216167516203819,0.8298760255096649,0.009721817985756295
l1-norm,lamda,0.01,5,0.08064713514338394,0.0007090171273644883,0.7150000000000001,0.020831481399169672,0.8252492369042119,0.014670165761984174
l1-norm,lamda,0.01,10,0.0880521502637869,0.0007948230928409684,0.6972222222222223,0.01842569327975224,0.812007489621952,0.011355323480164119
l1-norm,lamda,0.01,40,0.19898632643319278,0.0012581740232702845,0.44222222222222224,0.03814365309727082,0.5834261582936805,0.022788609848956608
l1-norm,lamda,0.01,80,0.3640210151168554,0.0036917929558319637,0.20888888888888885,0.024305158726919275,0.33334484798605046,0.024237516825942003
l1-norm,lamda,0.01,120,0.5690670958599858,0.007316990501631155,0.1638888888888889,0.005826715823167511,0.22967077129886393,0.0172317107516359
l1-norm,lamda,0.01,160,0.7927539162898523,0.005150453314339872,0.1538888888888889,0.010333930687632375,0.20184385863952756,0.00828206312672229
l1-norm,lamda,0.01,200,0.9864649746450208,0.013429082908491964,0.1511111111111111,0.00939529695849321,0.18314103547664634,0.0027538625964480304
l1-norm,lamda,0.01,240,1.1542050581606058,0.010190438070021941,0.1511111111111111,0.01091493483577139,0.18555939072211006,0.0032587816634433637
l1-norm,lamda,0.01,280,1.323097290384732,0.017545771497203086,0.1527777777777778,0.010092167846991639,0.1823028207839025,0.0031555403327472096
l1-norm,lamda,0.05,0,0.07827838661577848,0.0007959138825260441,0.71,0.017177360926378105,0.8211110943706326,0.008539767737551959
