model,parameter,parameterValue,noise,RRE (mean),RRE (sd),Acc (mean),Acc (sd),NMI (mean),NMI (sd)
l2-norm,,,0.0,0.07753231496129993,0.0008154132580540631,0.72,0.039417048389037264,0.8257090877924238,0.026502717426729924
l2-norm,,,0.05,0.12081524008286441,0.0018204939723537972,0.6633333333333333,0.03657395686807286,0.7793107802173758,0.027141650628590232
l2-norm,,,0.1,0.16680983822377446,0.00316925121473922,0.5599999999999999,0.03786754041767104,0.6951653879467219,0.024685259216673618
l2-norm,,,0.2,0.2481145818284407,0.0035898089706729768,0.3472222222222222,0.02551929795079078,0.5115478955266479,0.021858714962222074
l2-norm,,,0.3,0.320502348670877,0.004927845891684398,0.2783333333333334,0.03169102377100368,0.4232462035349349,0.04097894093447777
l2-norm,,,0.4,0.38968084402570025,0.005136978121653846,0.23277777777777775,0.01706921277304135,0.3679761293244009,0.02543685977772794
l2-norm,,,0.5,0.45574972549611276,0.006525596707989736,0.2011111111111111,0.01224744871391589,0.3097961735332991,0.025216157473283457
l2-norm,,,0.6,0.5204907044744989,0.00736173972822376,0.18222222222222223,0.004843221048378531,0.2908207916918782,0.0179533879150266
l2-norm,,,0.7,0.5849708077774453,0.00806440532993678,0.17833333333333334,0.011439589045541118,0.27148042635453185,0.029012915052044192
l21-norm,,,0.0,0.07931398228629834,0.0008287144553325928,0.7244444444444444,0.03878557705712681,0.8233036876853281,0.023978271265805637
l21-norm,,,0.05,0.11993695465874059,0.0016105818293935333,0.6611111111111111,0.026759099063982886,0.7813205764486121,0.02311752741749817
l21-norm,,,0.1,0.16431285207573804,0.0030167844450263346,0.5872222222222222,0.042549898086370254,0.7087998941964997,0.038014602095747065
l21-norm,,,0.2,0.24495774102482998,0.003084398802326298,0.39555555555555555,0.03696010528551087,0.5457683692190611,0.026780944676112788
l21-norm,,,0.3,0.3171088660984881,0.004775382583075711,0.305,0.03854610835267035,0.44895143470215687,0.0274675179695177
l21-norm,,,0.4,0.38623716692371757,0.004884041569623374,0.24166666666666664,0.02363560820686961,0.37302208717081436,0.02414008995965954
l21-norm,,,0.5,0.45330484335619675,0.006163733159960116,0.21388888888888888,0.017655831757856337,0.353953168178165,0.03787208941133477
l21-norm,,,0.6,0.5190219030185568,0.006938072730381379,0.20055555555555554,0.014423061095274631,0.3221957333975775,0.012421697863575562
l21-norm,,,0.7,0.584060515726447,0.007861638747247431,0.1838888888888889,0.005931710140017396,0.3041307237930004,0.008217548411924224
